# entry,name,display_id,minlevel,maxlevel,faction,npcflag,type,rank,unit_class,speed_walk,speed_run,base_attack_time,damage_modifier,health_modifier
1,Waypoint (Only GM can see it),10045,1,80,35,0,8,0,1,0.91,1.14,2000,1.00,0.01
6,Kobold Vermin,10913,1,2,25,0,7,0,1,1.00,0.86,2000,1.00,1.00
19,Benny Questgiver,6074,20,20,35,0,7,0,1,1.20,1.14,2000,1.00,1.00
29,Kanrethad,25275,1,1,35,0,7,0,1,1.00,1.14,2000,1.00,1250.00
30,Forest Spider,382,5,6,22,0,1,0,1,1.00,0.86,2000,1.00,1.00
31,Furbolg,145,1,2,35,0,0,0,1,1.20,1.14,2000,1.00,1.00
36,Harvest Golem,367,11,12,14,0,9,0,1,1.00,1.14,2000,1.00,1.00
38,Defias Thug,5035,3,4,7,0,7,0,1,1.00,0.86,2000,1.00,1.00
40,Kobold Miner,373,6,7,26,0,7,0,1,1.00,0.86,2000,1.00,1.00
43,Mine Spider,368,8,9,22,0,1,0,1,1.00,0.86,2000,1.00,1.00
46,Murloc Forager,441,9,10,18,0,7,0,1,1.00,0.86,2000,1.00,1.00
49,Lesser Succubus,159,20,20,90,0,3,0,1,1.20,1.14,2000,1.00,1.00
54,Corina Steele,1287,10,10,12,4224,7,0,1,1.00,1.14,2000,1.00,1.00
55,Mean Ed the Blacksmith,17,20,20,12,0,7,0,1,1.20,1.14,2000,1.00,1.00
60,Ruklar the Trapper,2153,8,8,26,0,7,0,2,1.00,0.86,2000,1.00,1.00
61,Thuros Lightfingers,3341,11,11,17,0,7,4,1,1.00,1.14,1700,1.00,1.00
62,Gug Fatcandle,26,4,4,26,0,7,0,1,1.00,0.86,2000,1.00,1.00
65,Peasant Woman,13,1,2,12,0,7,0,1,1.20,1.14,2000,1.00,1.00
66,Tharynn Bouden,1298,10,10,12,128,7,0,1,1.00,1.14,1500,1.00,1.00
67,[UNUSED] Marlon Darnik,23,5,5,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
69,Diseased Timber Wolf,31048,2,2,32,0,1,0,1,1.00,0.86,2000,1.00,1.00
70,[UNUSED] Lower Class Citizen,13,1,2,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
71,Rankist,137,5,7,14,0,0,0,1,1.20,1.14,2000,1.00,1.00
72,[UNUSED] Antaris the Trader,19,20,20,2000,0,7,0,1,1.00,1.14,2000,1.00,1.20
74,Kurran Steele,1289,10,10,12,4224,7,0,1,1.00,1.14,2000,1.00,1.00
75,[UNUSED] Vashaum Nightwither,166,12,12,17,0,7,0,1,1.00,1.14,2000,1.00,1.00
78,Janos Hammerknuckle,3275,5,5,12,4224,7,0,1,1.00,1.14,2000,1.00,1.00
79,Narg the Taskmaster,774,10,10,26,0,7,4,1,1.00,0.86,2000,1.00,1.30
80,Kobold Laborer,365,3,3,25,0,7,0,1,1.00,0.86,2000,1.00,1.00
81,[UNUSED] Luglar the Clogger,371,5,5,26,0,7,0,1,1.00,1.14,2000,1.00,1.00
82,Crazy Leonetti,16,7,7,35,0,7,0,1,1.20,1.14,2000,1.00,1.00
87,Forest Troll Berserker,167,2,4,14,0,7,0,1,1.20,1.14,2000,1.00,1.00
93,Centaur,172,1,2,35,0,0,0,1,1.20,1.14,2000,1.00,1.00
94,Defias Cutpurse,2361,5,6,17,0,7,0,1,1.00,0.86,2000,1.00,1.00
95,Defias Smuggler,4418,11,12,17,0,7,0,1,1.00,1.14,2000,1.00,1.00
97,Riverpaw Runt,10791,8,9,20,0,7,0,1,1.00,0.86,2000,1.00,1.00
98,Riverpaw Taskmaster,376,17,18,20,0,7,0,1,1.20,1.14,2000,1.00,1.00
99,Morgaine the Sly,3320,10,10,17,0,7,4,1,1.00,1.14,2000,1.00,1.00
100,Gruff Swiftbite,175,12,12,20,0,7,4,1,1.20,1.14,1500,1.00,1.00
