# kind,quest_id,creature_entry,display_id,x,y,z,orientation
giver,5,288,4325,-10731.4,337.138,38.4686,0.2883
giver,6,823,2072,-8947.64,-132.319,83.7199,3.33358
giver,7,197,1859,-8902.59,-162.606,82.0223,2.04204
giver,8,6784,5509,2126.65,1305.98,53.9885,2.83146
giver,9,233,1943,-10128.7,1055.21,36.4333,2.44346
giver,11,963,3279,-9662.75,694.321,36.9357,3.28122
giver,12,234,1690,-10508.8,1045.23,60.7013,1.95477
giver,16,255,3324,-9918.6,39.3611,32.6858,3.14159
giver,17,1470,1834,-5395.86,-3016.18,327.663,0.436332
giver,19,382,3454,-9284.03,-2298.16,67.5772,1.13446
giver,22,235,1691,-10112.1,1042.1,37.5542,2.42601
giver,33,196,3251,-8869.22,-163.237,80.9719,0.959931
giver,34,342,1743,-9245.81,-2045.33,77.1861,5.23599
giver,35,240,1985,-9465.52,74.0069,56.7785,4.59022
giver,36,238,1692,-9853.05,919.542,30.4614,4.7822
giver,37,261,1984,-9610.23,-1032.05,41.3058,3.14159
giver,40,241,3254,-9496.32,72.8264,56.598,6.23082
objective,5,0,0,-10499,-1158,0,0
objective,6,0,0,-9056,-461,0,0
objective,7,0,0,-8797,-259,0,0
objective,8,0,0,2270,245,0,0
objective,9,0,0,-9934,1166,0,0
objective,11,0,0,-9983,549,0,0
objective,12,0,0,-10179,1878,0,0
objective,13,0,0,-10727,1659,0,0
objective,14,0,0,-11258,1506,0,0
objective,15,0,0,-8782,-274,0,0
objective,16,0,0,-9983,549,0,0
objective,17,0,0,-6172,-3030,0,0
objective,18,0,0,-9052,-458,0,0
objective,19,0,0,-9435,-3079,0,0
objective,20,0,0,-9816,-3260,0,0
objective,21,0,0,-8561,-218,0,0
objective,22,0,0,-10448,872,0,0
objective,30,0,0,846,2208,0,0
objective,33,0,0,-8837,-305,0,0
objective,34,0,0,-9289,-1919,0,0
objective,35,0,0,-9610,-1032,0,0
objective,36,0,0,-10112,1042,0,0
objective,37,0,0,-9336,-986,0,0
objective,38,0,0,-10586,816,0,0
objective,39,0,0,-9466,74,0,0
objective,40,0,0,-9466,74,0,0
